generated_title_marketplace,name,product_category,price,rating,count_review,shop_name,url
Car Charger Mobil Fast Charging Dual Port USB 36W QC 3.0,Finchy Car Charger 2 Port Usb Fast Charging 36W QC3.0 Colokan Mobil,Car Charger Adapter,149900,5.0,12,Finchy Indonesia,https://www.tokopedia.com/finchy/finchy-car-charger-2-port-usb-fast-charging-36w-qc3-0-colokan-mobil-black-0218e?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB QC 3.0,Vention Car Charger Mobil Dual USB Port USB C QC Quick Charge FFA FFB FFF,Car Charger Adapter,99988,5.0,18,Vention Authorized Medan,https://www.tokopedia.com/vauthorizedmedan/vention-car-charger-mobil-dual-usb-port-usb-c-qc-quick-charge-ffa-ffb-fff-ffa-e6107?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Xiaomi Car Charger Mobil Fast Charging Dual Port USB 37W,Xiaomi Mi Car Charger Mobil Fast Charger Version 2 Port 37W,Car Charger Adapter,95000,5.0,61,Venus Mobile,https://www.tokopedia.com/venusmobile/xiaomi-mi-car-charger-mobil-fast-charger-version-2-port-37w?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB 20W PD Type C,Car Charger V-GeN VCC1-05 Fast Charging Type C PD 20W Charger Mobil,Car Charger Adapter,42000,5.0,12,Intact Official Store,https://www.tokopedia.com/intact-official/car-charger-v-gen-vcc1-05-fast-charging-type-c-pd-20w-charger-mobil?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB 12W Type C,CORDE Car Charger 12W Charger Mobil 2 Port USB-A + Type C - CCC101,Car Charger Adapter,37900,5.0,28,Corde Jakarta Official,https://www.tokopedia.com/cordejakarta/corde-car-charger-12w-charger-mobil-2-port-usb-a-type-c-ccc101?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB 38W PD QC 3.0 Type C Support iPhone,Hippo Car Charger ALF 3 PD 38W Power Delivery Fast Quick Charging 3.0 Casan Colokan Mobil Type C Android Iphone Micro Lightning QC Dual Port USB A USB C Blue Ponsel Pengisi Adapter Kompatibel Semua Perangkat Android IP Tablet TWS Bluetooth,Car Charger Adapter,69900,5.0,25,Hippo Indonesia,https://www.tokopedia.com/hippoelite/hippo-car-charger-alf-3-pd-38w-power-delivery-fast-quick-charging-3-0-casan-colokan-mobil-type-c-android-iphone-micro-lightning-qc-dual-port-usb-a-usb-c-blue-ponsel-pengisi-adapter-kompatibel-semua-perangkat-android-ip-tablet-tws-bluetooth-1729685627640056048?extParam=ivf%3Dtrue%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Kabel Data Charger Fast Charging Braided QC 3.0 Type C 2.4A,Hippo Car Charger ALF 2 2.4A SDC Casan Colokan Mobil Type C Android IP Micro Lightning QC Dual Port USB A USB C LED Light White Gadget Adapter Kabel,Kabel Data,31900,5.0,11,Hippo Indonesia,https://www.tokopedia.com/hippoelite/hippo-car-charger-alf-2-2-4a-sdc-casan-colokan-mobil-type-c-android-ip-micro-lightning-qc-dual-port-usb-a-usb-c-led-light-white-gadget-adapter-kabel-1732043755224925424?extParam=ivf%3Dtrue%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
KIIP Car Charger Mobil Fast Charging Dual Port USB 84W PD,KIIP SC17 CAR CHARGER RETRACTABLE PD 84W CHARGER MOBIL FAST CHARGING - HITAM,Car Charger Adapter,129000,5.0,10,Citos Global Teknologi,https://www.tokopedia.com/citosglobalteknologi/kiip-sc17-car-charger-retractable-pd-84w-charger-mobil-fast-charging-hitam-1731185420907021778?extParam=ivf%3Dtrue%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB 3.4A,Car Charger V-GeN VCC2-24 Dual LED Port USB 3.4A Charger Mobil,Car Charger Adapter,27000,5.0,72,V-GeN Indonesia Official Store,https://www.tokopedia.com/v-genindonesia/car-charger-v-gen-vcc2-24-dual-led-port-usb-3-4a-charger-mobil-putih?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB QC 3.0,Car Charger V-GeN VCC2-21 Dual USB Fast Charging QC 3.0 Charger Mobil,Car Charger Adapter,44000,5.0,113,V-GeN Indonesia Official Store,https://www.tokopedia.com/v-genindonesia/car-charger-v-gen-vcc2-21-dual-usb-fast-charging-qc-3-0-charger-mobil-putih-2f547?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Vivan Car Charger Mobil Fast Charging Dual Port USB 38W Type C,Vivan VCC04 Dual Port USB-C USB-A Fast Charging Car Charger Mobil 38W,Car Charger Adapter,102900,5.0,62,Liem Group,https://www.tokopedia.com/liemgroup/vivan-vcc04-dual-port-usb-c-usb-a-fast-charging-car-charger-mobil-38w?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB 30W,JOYROOM CCD04 Car Fast Charger Mobil 30W 2C1A Digital Display,Car Charger Adapter,135500,5.0,430,Joyroom Indonesia,https://www.tokopedia.com/joyroomindonesia/joyroom-ccd04-car-fast-charger-mobil-30w-2c1a-digital-display?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB PD Type C,ACEFAST PWRup B12 Car Charger Mobil PD USB Type-C Super Fast Charging,Car Charger Adapter,99000,5.0,26,HimTech,https://www.tokopedia.com/himtech/acefast-pwrup-b12-car-charger-mobil-pd-usb-type-c-super-fast-charging-samsung-iphone-ipad-tablet-tab?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB 36W QC 3.0,GIDGET Car Charger Mobil 36W Fast Charging Dual USB Quick Charge - CC5,Car Charger Adapter,93900,5.0,13,Gidget Indonesia,https://www.tokopedia.com/gidget-indonesia/gidget-car-charger-mobil-36w-fast-charging-dual-usb-quick-charge-cc5?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Kabel Data Charger Fast Charging Braided 60W Type C,DINGS Car Charger Dual Port With Cable USB Type C Charger Mobil Fast Charging Individual 60W Casan Colokan Mobil,Kabel Data,36900,5.0,29,Dings Indonesia,https://www.tokopedia.com/dingsofficial/dings-car-charger-dual-port-with-cable-usb-type-c-charger-mobil-fast-charging-individual-60w-casan-colokan-mobil-1731975484415051082?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB,Hippo Car Charger Mobil ALF 2 USB Ports 2.4 A Simple Pack,Car Charger Adapter,69000,4.9,12,HIPPO SURABAYA,https://www.tokopedia.com/hippo-surabaya/hippo-car-charger-mobil-alf-2-usb-ports-2-4-a-simple-pack?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB 36W QC 3.0,roboost Car Charger Mobil Dual Port MAX 36W QC 4.0 3.0 Fast Charging Support AFP FCP,Car Charger Adapter,73000,4.9,1064,roboost Indonesia,https://www.tokopedia.com/roboostofficial/roboost-car-charger-mobil-dual-port-max-36w-qc-4-0-3-0-fast-charging-support-afp-fcp-1729385732170418093?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB 36W PD QC 3.0,roboost Car Charger Mobil Dual Port Max 36W Fast Charging PD QC 3.0 Adaptor Adapter,Car Charger Adapter,95000,4.9,310,roboost Indonesia,https://www.tokopedia.com/roboostofficial/roboost-car-charger-mobil-dual-port-max-36w-fast-charging-pd-qc-3-0-adaptor-adapter-1729431084917885869?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB QC 3.0,Car Charger V-GeN VCC2-21 Dual USB Fast Charging QC 3.0 Charger Mobil,Car Charger Adapter,44000,4.9,28,Intact Official Store,https://www.tokopedia.com/intact-official/car-charger-v-gen-vcc2-21-dual-usb-fast-charging-qc-3-0-charger-mobil-putih-91b8c?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB 3.4A,Car Charger V-GeN VCC2-24 Dual LED Port USB 3.4A Charger Mobil,Car Charger Adapter,27000,4.9,75,Intact Official Store,https://www.tokopedia.com/intact-official/car-charger-v-gen-vcc2-24-dual-led-port-usb-3-4a-charger-mobil-1729605144425957506?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB 3.4A,Car Charger V-GeN VCC2-19 3.4A Dual Port USB LED Charger Mobil VGEN,Car Charger Adapter,39000,4.9,15,Intact Official Store,https://www.tokopedia.com/intact-official/car-charger-v-gen-vcc2-19-3-4a-dual-port-usb-led-charger-mobil-vgen-silver-d706b?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB 12W Type C,CORDE Car Charger 12W Charger Mobil 2 Port USB-A + Type C - CCC101,Car Charger Adapter,36900,4.9,100,Corde Indonesia,https://www.tokopedia.com/cordeofficial/corde-car-charger-12w-charger-mobil-2-port-usb-a-type-c-ccc101?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB 1A,"COPPER Car Charger CP4003 - 2,1A (2 Port) - Mobil|Motor",Car Charger Adapter,52900,5.0,25,Copper.Medan,https://www.tokopedia.com/coppermedan/copper-car-charger-cp4003-2-1a-2-port-mobil-motor-putih-charger-only?extParam=ivf%3Dtrue%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB QC 3.0,COPPER Car Charger C304Q Quick Charge Mobil,Car Charger Adapter,71900,5.0,10,Copper.Medan,https://www.tokopedia.com/coppermedan/copper-car-charger-c304q-quick-charge-mobil?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB 36W PD,COPPER Car Charger CP4001 - 36W PD + Qualcomm|Mobil|Motor,Car Charger Adapter,98900,5.0,57,Copper.Medan,https://www.tokopedia.com/coppermedan/copper-car-charger-cp4001-36w-pd-qualcomm-mobil-motor-putih-kabel-micro?extParam=ivf%3Dtrue%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB QC 3.0,CAR Charger Mobil LED Display Dual USB QC3.0 Fast Charging LDNIO C2,Car Charger Adapter,119000,5.0,45,LDNIO Indonesia,https://www.tokopedia.com/ldnio-indonesia/car-charger-mobil-led-display-dual-usb-qc3-0-fast-charging-ldnio-c2?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB 36W QC 3.0,COPPER Car Charger Qualcomm 3.0 CP4002 - 36W (3 Port)|Mobil|Motor,Car Charger Adapter,82900,5.0,29,Copper.Medan,https://www.tokopedia.com/coppermedan/copper-car-charger-qualcomm-3-0-cp4002-36w-3-port-mobil-motor-putih-charger-only?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB,USB Triple Socket Car USB Power Supply Car Adaptor Charger Mobil,Car Charger Adapter,25000,4.9,35,Brainbox Car and Home,https://www.tokopedia.com/brainboxcar/usb-triple-socket-car-usb-power-supply-car-adaptor-charger-mobil?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB 3.4A,Car Charger V-GeN VCC2-19 3.4A Dual Port USB LED Charger Mobil VGEN,Car Charger Adapter,39000,4.9,65,V-GeN Indonesia Official Store,https://www.tokopedia.com/v-genindonesia/car-charger-v-gen-vcc2-19-3-4a-dual-port-usb-led-charger-mobil-vgen-hitam-34aed?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB 20W PD Type C,Car Charger V-GeN VCC1-05 Fast Charging Type C PD 20W Charger Mobil,Car Charger Adapter,42000,4.9,49,V-GeN Indonesia Official Store,https://www.tokopedia.com/v-genindonesia/car-charger-v-gen-vcc1-05-fast-charging-type-c-pd-20w-charger-mobil?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB QC 3.0,V-GeN Car Charger VCC4-02 Fast Charging QC3.0 Charger Mobil VGEN,Car Charger Adapter,138000,4.9,64,V-GeN Indonesia Official Store,https://www.tokopedia.com/v-genindonesia/v-gen-car-charger-vcc4-02-fast-charging-qc3-0-charger-mobil-vgen?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB,JOYROOM CCD03 Car Fast Charger Mobil 3USB Digital Display,Car Charger Adapter,95500,4.9,507,Joyroom Indonesia,https://www.tokopedia.com/joyroomindonesia/joyroom-ccd03-car-fast-charger-mobil-3usb-digital-display-1731894030458783593?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB QC 3.0,Vention Car Charger Mobil Dual USB Port QC Quick Charge,Car Charger Adapter,133800,4.9,785,Inprotek,https://www.tokopedia.com/inprotek/vention-car-charger-mobil-dual-usb-port-qc-quick-charge-ffb-a-c-20w?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB PD,Fieri Charger Mobil 45 W – USB‑C & USB‑A PD PPS Fast Charge Mini Design – Hitam Ringkas,Car Charger Adapter,93999,4.9,75,iShopHereid,https://www.tokopedia.com/ishophereid/fieri-charger-mobil-45-w-usb-c-usb-a-pd-pps-fast-charge-mini-design-hitam-ringkas-1729781453314754901?extParam=ivf%3Dtrue%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB 54W PD Type C,GIDGET CAR CHARGER MOBIL 54W FAST CHARGING TYPE C PD+USB - CC97,Car Charger Adapter,109900,4.9,176,Gidget Indonesia,https://www.tokopedia.com/gidget-indonesia/gidget-car-charger-mobil-54w-fast-charging-type-c-pd-usb-cc97?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Robot Car Charger Mobil Fast Charging Dual Port USB 2.4A,ROBOT Car Charger Dual Port RT-C07 Casan Mobil Quick Charging 2.4A,Car Charger Adapter,49900,4.9,1037,AlphaOne Mall,https://www.tokopedia.com/alphaoneofficial/robot-car-charger-dual-port-rt-c07-casan-mobil-quick-charging-2-4a-1729577274579192619?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB,ACEFAST PWRup B7 Car Charger Mobil Digital Display USB Fast Charging,Car Charger Adapter,149000,4.9,19,HimTech,https://www.tokopedia.com/himtech/acefast-pwrup-b7-car-charger-mobil-digital-display-usb-fast-charging?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB 45W,JOYROOM CL03 Pro Car Fast Charger Mobil 5-Port 45W,Car Charger Adapter,125500,4.9,366,Joyroom Indonesia,https://www.tokopedia.com/joyroomindonesia/joyroom-cl03-pro-car-fast-charger-mobil-5-port-45w-cl03-pro-3a283?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB 65W PD QC 3.0 Type C,Fieri Charger Mobil D1-X Dual Type C 65 Watt PD QC Fast Charging,Car Charger Adapter,109000,4.9,158,iShopHereid,https://www.tokopedia.com/ishophereid/fieri-charger-mobil-d1-x-dual-type-c-65-watt-pd-qc-fast-charging?extParam=ivf%3Dtrue%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Kabel Data Charger Fast Charging Braided Type C Support iPhone,"UGREEN Charger Mobil Fast Charging + Kabel iPhone, Type C, Micro USB",Kabel Data,149000,5.0,274,UGREEN Official Store,https://www.tokopedia.com/ugreenofficialstore/ugreen-charger-mobil-fast-charging-kabel-iphone-type-c-micro-usb-10144-36w?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
Car Charger Mobil Fast Charging Dual Port USB 24W,UGREEN Car Charger Mobil Dual Port USB A + USB C Fast Charging 24w 36w,Car Charger Adapter,149000,5.0,447,UGREEN Official Store,https://www.tokopedia.com/ugreenofficialstore/ugreen-car-charger-mobil-dual-port-usb-a-usb-c-fast-charging-24w-36w-10144-36w?extParam=ivf%3Dfalse%26keyword%3Dcharger+mobil%26search_id%3D20260115051207B3967A0E938DC214AVBW%26src%3Dsearch
